bait_organism,bait_name,gene_name
SARS-CoV-2,ORF7b,PLIN2
SARS-CoV-2,ORF7b,CD81
SARS-CoV-2,ORF7b,TAMM41
SARS-CoV-2,ORF7b,TMEM177
SARS-CoV-2,ORF7b,PEX10
SARS-CoV-2,ORF7b,ARFIP1
SARS-CoV-2,ORF7b,GOSR1
SARS-CoV-2,ORF7b,SCFD1
SARS-CoV-2,ORF7b,SLC35A1
SARS-CoV-2,ORF7b,B3GALT6
SARS-CoV-2,ORF7b,STX5
SARS-CoV-2,ORF7b,GPD2
SARS-CoV-2,ORF7b,OSTC
SARS-CoV-2,ORF7b,OCIAD2
SARS-CoV-2,ORF7b,TRPM4
SARS-CoV-2,ORF7b,TMEM199
SARS-CoV-2,ORF7b,DAGLB
SARS-CoV-2,ORF7b,FUT8
SARS-CoV-2,ORF7b,GPR39
SARS-CoV-2,ORF7b,COMT
SARS-CoV-2,ORF7b,GOLIM4
SARS-CoV-2,ORF7b,SEC61G
SARS-CoV-2,ORF7b,LETMD1
SARS-CoV-2,ORF7b,EFNB1
SARS-CoV-2,ORF7b,TMEM258
SARS-CoV-2,ORF7b,ALG8
SARS-CoV-2,ORF7b,RDH14
SARS-CoV-2,ORF7b,TCIRG1
SARS-CoV-2,ORF7b,PRAF2
SARS-CoV-2,ORF7b,ABHD5
SARS-CoV-2,ORF7b,SMIM1
SARS-CoV-2,ORF7b,ZDHHC13
SARS-CoV-2,ORF7b,TIMM17A
SARS-CoV-2,ORF7b,PEX13
SARS-CoV-2,ORF7b,TMEM223
SARS-CoV-2,ORF7b,GORASP2
SARS-CoV-2,ORF7b,MUL1
SARS-CoV-2,ORF7b,XXYLT1
SARS-CoV-2,ORF7b,SLC15A4
SARS-CoV-2,ORF7b,WDR83OS
SARS-CoV-2,ORF7b,NT5C3A
SARS-CoV-2,ORF7b,EXOG
SARS-CoV-2,ORF7b,SCARA5
SARS-CoV-2,ORF7b,SQLE
SARS-CoV-2,ORF7b,ELOVL7
SARS-CoV-2,ORF7b,SEC61B
SARS-CoV-2,ORF7b,TMEM214
SARS-CoV-2,ORF7b,SCCPDH
SARS-CoV-2,ORF7b,TM9SF2
SARS-CoV-2,ORF7b,ABHD16A
SARS-CoV-2,ORF7b,EXTL3
SARS-CoV-2,ORF7b,CALML5
SARS-CoV-2,ORF7b,KDELR1
SARS-CoV-2,ORF7b,TIMM17B
SARS-CoV-2,ORF7b,CKAP4
SARS-CoV-2,ORF7b,GJA1
SARS-CoV-2,ORF7b,BET1
SARS-CoV-2,ORF7b,LPCAT4
SARS-CoV-2,ORF7b,SYPL1
SARS-CoV-2,ORF7b,STRA6
SARS-CoV-2,ORF7b,PTRH2
SARS-CoV-2,ORF7b,AREG
SARS-CoV-2,ORF7b,SPTLC2
SARS-CoV-2,ORF7b,EXT1
SARS-CoV-2,ORF7b,ALG14
SARS-CoV-2,ORF7b,GLCE
SARS-CoV-2,ORF7b,TMED9
SARS-CoV-2,ORF7b,B3GAT3
SARS-CoV-2,ORF7b,TMEM256
SARS-CoV-2,ORF7b,GOSR2
SARS-CoV-2,ORF7b,FITM2
SARS-CoV-2,ORF7b,PAQR5
SARS-CoV-2,ORF7b,ALG13
SARS-CoV-2,ORF7b,STX16
SARS-CoV-2,ORF7b,CUX1
SARS-CoV-2,ORF7b,MAVS
SARS-CoV-2,ORF7b,HTATIP2
SARS-CoV-2,ORF7b,LGR4
SARS-CoV-2,ORF7b,DPY19L2
SARS-CoV-2,ORF8,IGFBP3
SARS-CoV-2,ORF8,TGFB2
SARS-CoV-2,ORF8,FGA
SARS-CoV-2,ORF8,TGFB1
SARS-CoV-2,ORF8,TGFBI
SARS-CoV-2,ORF8,IGFBP4
SARS-CoV-2,ORF8,UGGT2
SARS-CoV-2,ORF8,PLAU
SARS-CoV-2,ORF8,SERPINE1
SARS-CoV-2,ORF8,NPTX1
SARS-CoV-2,ORF8,MAN2A1
SARS-CoV-2,ORF8,NTS
SARS-CoV-2,ORF8,PDIA3
SARS-CoV-2,ORF8,ST8SIA4
SARS-CoV-2,ORF8,PROS1
SARS-CoV-2,ORF8,EGFL7
SARS-CoV-2,ORF8,LTBP1
SARS-CoV-2,ORF8,CXCL5
SARS-CoV-2,ORF8,FGB
SARS-CoV-2,ORF8,ITGA3
SARS-CoV-2,ORF9b,MARC1
